timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753567739812,638,Main Bundle,404,Not Found,Moderate Load 2-36,text,false,,21704,136,13,13,http://localhost:3000/static/js/main.js,622,0,0
1753567739812,641,Main Bundle,404,Not Found,Moderate Load 2-38,text,false,,21704,136,12,12,http://localhost:3000/static/js/main.js,623,0,0
1753567730633,16971,Homepage,200,OK,Moderate Load 2-45,text,true,,90925,119,11,11,http://localhost:3000/,147,0,1
1753567725826,21782,Homepage,200,OK,Moderate Load 2-41,text,true,,90925,119,11,11,http://localhost:3000/,156,0,1
1753567724633,22978,Homepage,200,OK,Moderate Load 2-40,text,true,,90925,119,11,11,http://localhost:3000/,173,0,1
1753567734233,13382,Homepage,200,OK,Moderate Load 2-48,text,true,,90925,119,11,11,http://localhost:3000/,147,0,1
1753567727035,20583,Homepage,200,OK,Moderate Load 2-42,text,true,,90925,119,11,11,http://localhost:3000/,198,0,1
1753567731835,15786,Homepage,200,OK,Moderate Load 2-46,text,true,,90537,119,11,11,http://localhost:3000/,155,0,1
1753567733026,14598,Homepage,200,OK,Moderate Load 2-47,text,true,,90933,119,11,11,http://localhost:3000/,160,0,1
1753567728236,19391,Homepage,200,OK,Moderate Load 2-43,text,true,,90933,119,11,11,http://localhost:3000/,160,0,2
1753567729433,18196,Homepage,200,OK,Moderate Load 2-44,text,true,,90739,119,11,11,http://localhost:3000/,164,0,1
1753567748112,247,API - Products,404,Not Found,Moderate Load 2-41,text,false,,21695,131,11,11,http://localhost:3000/api/products,241,0,0
1753567748112,252,API - Products,404,Not Found,Moderate Load 2-45,text,false,,21695,131,11,11,http://localhost:3000/api/products,242,0,0
1753567748113,254,API - Products,404,Not Found,Moderate Load 2-40,text,false,,21695,131,11,11,http://localhost:3000/api/products,242,0,0
1753567748128,667,API - Products,404,Not Found,Moderate Load 2-44,text,false,,21695,131,11,11,http://localhost:3000/api/products,657,0,0
1753567748128,671,API - Products,404,Not Found,Moderate Load 2-46,text,false,,21695,131,11,11,http://localhost:3000/api/products,659,0,0
1753567748128,674,API - Products,404,Not Found,Moderate Load 2-42,text,false,,21695,131,11,11,http://localhost:3000/api/products,660,0,0
1753567748128,679,API - Products,404,Not Found,Moderate Load 2-43,text,false,,21695,131,11,11,http://localhost:3000/api/products,662,0,0
1753567748128,683,API - Products,404,Not Found,Moderate Load 2-47,text,false,,21695,131,11,11,http://localhost:3000/api/products,663,0,0
1753567748128,687,API - Products,404,Not Found,Moderate Load 2-48,text,false,,21695,131,11,11,http://localhost:3000/api/products,665,0,0
1753567748860,84,Main Bundle,404,Not Found,Moderate Load 2-41,text,false,,21704,136,11,11,http://localhost:3000/static/js/main.js,81,0,0
1753567748875,237,Main Bundle,404,Not Found,Moderate Load 2-45,text,false,,21704,136,10,10,http://localhost:3000/static/js/main.js,231,0,0
1753567748875,241,Main Bundle,404,Not Found,Moderate Load 2-40,text,false,,21704,136,9,9,http://localhost:3000/static/js/main.js,233,0,0
1753567749295,91,Main Bundle,404,Not Found,Moderate Load 2-44,text,false,,21704,136,8,8,http://localhost:3000/static/js/main.js,88,0,0
1753567749312,477,Main Bundle,404,Not Found,Moderate Load 2-47,text,false,,21704,136,7,7,http://localhost:3000/static/js/main.js,469,0,0
1753567749312,482,Main Bundle,404,Not Found,Moderate Load 2-42,text,false,,21704,136,6,6,http://localhost:3000/static/js/main.js,471,0,0
1753567749312,486,Main Bundle,404,Not Found,Moderate Load 2-43,text,false,,21704,136,5,5,http://localhost:3000/static/js/main.js,472,0,0
1753567749312,490,Main Bundle,404,Not Found,Moderate Load 2-46,text,false,,21704,136,4,4,http://localhost:3000/static/js/main.js,474,0,0
1753567749327,478,Main Bundle,404,Not Found,Moderate Load 2-48,text,false,,21704,136,3,3,http://localhost:3000/static/js/main.js,460,0,0
1753567735429,22084,Homepage,200,OK,Moderate Load 2-49,text,true,,90545,119,2,2,http://localhost:3000/,142,0,1
1753567736627,20888,Homepage,200,OK,Moderate Load 2-50,text,true,,90739,119,2,2,http://localhost:3000/,154,0,2
1753567758019,164,API - Products,404,Not Found,Moderate Load 2-50,text,false,,21695,131,2,2,http://localhost:3000/api/products,161,0,0
1753567758019,168,API - Products,404,Not Found,Moderate Load 2-49,text,false,,21695,131,2,2,http://localhost:3000/api/products,162,0,0
1753567758690,193,Main Bundle,404,Not Found,Moderate Load 2-49,text,false,,21704,136,2,2,http://localhost:3000/static/js/main.js,188,0,0
1753567758690,196,Main Bundle,404,Not Found,Moderate Load 2-50,text,false,,21704,136,1,1,http://localhost:3000/static/js/main.js,190,0,0
1753649221234,11743,Homepage,500,Internal Server Error,Moderate Load 2-1,text,false,,20319,119,11,16,http://localhost:3000/,11261,0,37
1753649222318,10672,Homepage,500,Internal Server Error,Moderate Load 2-2,text,false,,20319,119,11,16,http://localhost:3000/,10177,0,1
1753649223500,9507,Homepage,500,Internal Server Error,Moderate Load 2-3,text,false,,20319,119,11,16,http://localhost:3000/,8995,0,1
1753649224101,8919,Homepage,500,Internal Server Error,Light Load 1-2,text,false,,20319,119,5,16,http://localhost:3000/,8393,0,1
1753649224710,8337,Homepage,500,Internal Server Error,Moderate Load 2-4,text,false,,20319,119,11,16,http://localhost:3000/,7785,0,1
1753649225925,7131,Homepage,500,Internal Server Error,Moderate Load 2-5,text,false,,20319,119,11,16,http://localhost:3000/,6572,0,1
1753649227105,5961,Homepage,500,Internal Server Error,Light Load 1-3,text,false,,20319,119,5,16,http://localhost:3000/,5395,0,1
1753649227116,5957,Homepage,500,Internal Server Error,Moderate Load 2-6,text,false,,20319,119,11,16,http://localhost:3000/,5385,0,1
1753649221234,11845,Homepage,500,Internal Server Error,Light Load 1-1,text,false,,20319,119,5,16,http://localhost:3000/,11269,0,37
1753649230711,4875,Homepage,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-9,text,false,,2441,0,13,18,http://localhost:3000/,0,0,1
1753649233508,2078,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-1,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649233508,2077,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-2,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649233523,2062,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Light Load 1-2,text,false,,2441,0,5,18,http://localhost:3000/api/products,0,0,0
1753649233585,2000,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Light Load 1-1,text,false,,2441,0,5,18,http://localhost:3000/api/products,0,0,0
1753649233585,2000,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-6,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649231905,3680,Homepage,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-10,text,false,,2441,0,13,18,http://localhost:3000/,0,0,1
1753649230101,5484,Homepage,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Light Load 1-4,text,false,,2441,0,5,18,http://localhost:3000/,0,0,1
1753649233523,2062,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-3,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649233570,2016,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-5,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649233554,2031,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-4,text,false,,2441,0,13,18,http://localhost:3000/api/products,0,0,0
1753649233570,2018,API - Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Light Load 1-3,text,false,,2441,0,5,18,http://localhost:3000/api/products,0,0,0
1753649233092,2498,Homepage,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Light Load 1-5,text,false,,2441,0,5,18,http://localhost:3000/,0,0,3
1753649234307,1284,Homepage,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Moderate Load 2-12,text,false,,2441,0,13,18,http://localhost:3000/,0,0,1
